comm_type,comm_group,comm_group_size,msg_size,stage,dst,src,additional,_elapsed_time,algbw,busbw,count
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.055840015411377,20.64,20.64,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.11228799819946289,0.14,0.14,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.130752563476562,20.83,20.83,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.235488891601562,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.236352920532227,20.69,20.69,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.1393599957227707,0.11,0.11,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.969344139099121,20.94,20.94,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.050591945648193,20.66,20.66,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.075039863586426,20.58,20.58,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.0464959144592285,20.67,20.67,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.10316800326108932,0.15,0.15,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.196575164794922,20.74,20.74,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.245887756347656,20.68,20.68,1
CommType.broadcast,CommGroup.dp_group,2,360710144,init._broadcast_model,None,0,,16.247648239135742,20.68,20.68,1
CommType.broadcast,CommGroup.dp_group,2,16384,init._broadcast_model,None,0,,0.12137600034475327,0.13,0.13,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,5.933856010437012,21.07,21.07,1
CommType.broadcast,CommGroup.dp_group,2,134217728,init._broadcast_model,None,0,,6.05020809173584,20.66,20.66,1
